Accession	BSF	PCF
Tb09.244.2450	25.7218	10.6179
Tb09.211.4430	38.2369	42.176
Tb927.1.1220	53.5113	56.0674
Tb11.02.4650	58.6754	40.3865
Tb927.7.840	182.5472	332.9783
Tb927.10.8290	0	0.0308
Tb927.4.3190	49.8238	43.3298
Tb927.3.5060	138.8569	117.8856
Tb09.211.0760	60.0221	72.618
Tb11.01.3850	24.1566	39.0405
Tb11.02.1564	10.9112	0
Tb927.8.6430	196.4529	50.1266
Tb927.4.810	94.2191	34.8782
Tb927.7.4970	89.067	191.3301
Tb927_08_v4.snoRNA.0042	0	0
Tb927.10.14120	92.1961	81.8844
Tb927.5.3100	99.2959	48.5602
Tb927.4.2450	309.3354	198.6341
Tb10.v4.0238	0	0
Tb927.3.1270	36.2619	38.8517
Tb09_SLRNA_0011	0	0
Tb11.44.0012	0	0
Tb11.01.4990	69.9145	79.7408
Tb927.3.4270	122.4137	78.7167
Tb927.6.5370	0	0
Tb927_09_v4.snoRNA.0007	0	0
Tb927.3.5300	54.0271	52.9903
Tb927.2.4445	106.6296	89.0265
Tb927.6.3490	52.6144	90.2572
Tb927.7.3410	172.4602	114.0891
Tb927.2.5810	34.8993	59.4102
Tb09.211.1120	3.7747	9.8093
Tb09.160.3510	54.3149	44.8193
Tb927.10.11010	61.4647	37.1694
Tb927.4.3530	46.2963	56.992
Tb927.10.6560	41.4613	27.1053
Tb927.6.5260	0.519	0.1585
Tb927.7.5680	63.507	74.0285
Tb927.7.3430	47.7742	50.1712
Tb927.10.8820	51.525	56.4367
Tb927.4.4520	16.2792	10.9124
Tb927.5.2790	20.4398	32.486
Tb927.10.12270	7.341	9.6062
Tb927.7.800	48.5998	64.7257
Tb09.v4.0156	0	0
Tb927.10.5860	125.8247	126.7917
Tb927.1.2680	45.5859	29.7754
Tb927.10.10700	55.6043	40.9391
Tb927.5.230	0	0
Tb927_09_v4.snoRNA.0072	0	0
Tb927.8.5900	74.4616	63.0818
Tb927.8.7590	14.6333	11.2082
Tb11.01.0725	6.4827	2.5273
Tb11.02.2720	43.5523	43.9064
Tb927.7.1810	0	0
Tb11.18.0013	93.1736	73.87
Tb11.02.1230	49.8298	71.46
Tb927.8.6520	50.782	41.0681
Tb11.02.2350	60.803	48.377
Tb11.03.0430	43.9554	74.2756
Tb927.6.860	38.143	36.4528
Tb927.10.15720	97.8526	66.288
Tb11.02.0550	51.6436	43.2818
Tb927_11_01_v4.snoRNA.0002	0	0
Tb927.10.10630	65.3208	47.1613
Tb927.4.4600	60.1827	94.2527
Tb927.8.7410	102.8861	60.2552
Tb927.4.2750	42.3962	50.4224
Tb09.244.1580	0.5803	0
Tb927.10.950	52.1407	48.0722
Tb927.5.140	33.416	4.8906
Tb927.1.3310	137.6975	181.3079
Tb11.02.2160	36.1953	26.5569
Tb11.01.3090	43.365	49.0483
Tb927.5.4440	45.5899	15.015
Tb11.01.2260	32.9902	31.0933
Tb927.10.13640	77.029	91.6245
Tb11.01.8750	68.4826	59.0039
Tb09.160.0660	29.5059	33.6351
Tb11.0490	0	0
Tb11.1500	0	0
Tb10.v4.0167	0	0
Tb11.02.5410	27.1185	23.9115
Tb927.8.5030	79.9482	76.3548
Tb11.02.4780	47.9914	48.3317
Tb09.160.3720	62.3823	40.4504
Tb11.02.0490	41.0402	39.2087
Tb927.4.4390	52.4525	30.107
Tb09.211.4200	49.1428	36.1761
Tb927_08_v4.snoRNA.0021	0	0
Tb09.211.2270	47.8262	15.1695
Tb927.10.13510	57.7666	64.8966
Tb11.01.4623	0	0
Tb11.57.0083	3.5149	0
Tb927_10_v4.snoRNA.0027:snoRNA	7.1537	27.6002
Tb927.5.330	0	0
Tb927.3.4130	65.5893	99.2738
Tb11.02.5165	20.1872	80.3901
Tb11.22.0001	77.4561	585.9907
Tb11.01.6040	19.7761	18.6337
Tb927.10.6840	111.4139	88.8686
Tb11.01.6720	48.9376	40.5465
Tb927.7.6870	0	0
Tb927.10.10890	0	0
Tb927.8.1080	54.4355	87.0915
Tb927.10.5300	93.4921	175.2442
Tb927_09_v4.snoRNA.0079	0	0
Tb927.6.5750	0	0
Tb11.01.4400	38.1117	47.567
Tb11.01.1420	46.6667	67.531
Tb11.v4.0072	0	0
Tb927.10.6120	70.4962	69.0665
Tb927.3.2660	38.9359	66.1939
Tb11.01.6850	29.2081	22.4577
Tb927.5.285b	2.9018	8.2183
Tb09.211.1990	31.2957	40.2836
Tb09.v4.0009	1.5438	2.8794
Tb09.160.1120	46.0844	43.5083
